Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
A Ashish Reddy,1991-02-24 00:00:00,Right_Hand,Right-arm medium,India
A Chandila,1983-12-05 00:00:00,Right_Hand,Right-arm offbreak,India
A Chopra,1977-09-19 00:00:00,Right_Hand,Right-arm offbreak,India
A Choudhary,,Right_hand,Left-arm fast-medium,
A Dananjaya,,Right_Hand,Right-arm offbreak,
A Flintoff,1977-12-06 00:00:00,Right_Hand,Right-arm fast-medium,England
A Hales,,Right_hand,,
A Joseph,,Right_Hand,Right-arm fast,
A Kumble,1970-10-17 00:00:00,Right_Hand,Legbreak googly,India
A Mishra,1982-11-24 00:00:00,Right_Hand,Legbreak,India
A Mithun,1989-10-25 00:00:00,Right_Hand,Right-arm medium,India
A Mukund,1990-01-06 00:00:00,Right_Hand,Legbreak googly,India
A Nehra,1979-04-29 00:00:00,Right_Hand,Left-arm medium-fast,India
A Nel,1977-07-15 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
A Roy,,Left_Hand,Slow left-arm orthodox,
A Singh,1981-06-21 00:00:00,Right_Hand,Right-arm medium-fast,India
A Symonds,1975-06-09 00:00:00,Right_Hand,Right-arm offbreak,Australia
A Turner,,Right_Hand,,
A Uniyal,1981-11-21 00:00:00,Right_Hand,Left-arm medium,India
A Zampa,1992-03-31 00:00:00,Right_Hand,Legbreak googly,Australia
AA Bilakhia,1986-05-31 00:00:00,Right_Hand,Right-arm medium,India
AA Chavan,1985-10-28 00:00:00,Right_Hand,Slow left-arm orthodox,India
AA Jhunjhunwala,1982-12-01 00:00:00,Right_Hand,Right-arm offbreak,India
AA Kazi,1989-09-29 00:00:00,Right_Hand,Slow left-arm orthodox,India
AA Noffke,1977-04-30 00:00:00,Right_Hand,Right-arm fast-medium,Australia
AB Agarkar,1977-12-04 00:00:00,Right_Hand,Right-arm fast,India
AB Barath,1990-04-14 00:00:00,Left_Hand,Right-arm offbreak,India
AB de Villiers,1984-02-17 00:00:00,Right_Hand,Right-arm medium,South Africa
AB Dinda,1984-03-25 00:00:00,Right_Hand,Right-arm medium-fast,India
AB McDonald,1981-06-05 00:00:00,Right_Hand,Right-arm fast-medium,Australia
Abdur Razzak,1982-06-15 00:00:00,Left_Hand,Slow left-arm orthodox,Bangladesh
AC Blizzard,1984-06-27 00:00:00,Left_Hand,Left-arm medium,Australia
AC Gilchrist,1971-11-14 00:00:00,Left_Hand,Right-arm offbreak,Australia
AC Thomas,1977-02-09 00:00:00,Right_Hand,Right-arm fast-medium,England
AC Voges,1979-10-04 00:00:00,Right_Hand,Slow left-arm orthodox,Australia
AD Mascarenhas,1977-10-30 00:00:00,Right_Hand,Right-arm fast-medium,England
AD Mathews,1987-06-02 00:00:00,Right_Hand,Right-arm fast-medium,Sri Lanka
AD Nath,1993-05-10 00:00:00,Right_Hand,Right-arm medium-fast,India
AD Russell,1988-04-29 00:00:00,Right_Hand,Right-arm fast,West Indies
AF Milne,1992-04-13 00:00:00,Right_Hand,Right-arm fast,New Zealand
AG Murtaza,1990-01-01 00:00:00,Left_Hand,Slow left-arm orthodox,India
AG Paunikar,1988-04-18 00:00:00,Right_Hand,,India
AJ Finch,1986-11-17 00:00:00,Right_Hand,Slow left-arm orthodox,Australia
AJ Tye,,Right_hand,Right-arm fast-medium,
AL Menaria,1990-10-29 00:00:00,Left_Hand,Slow left-arm orthodox,India
AM Nayar,1983-10-08 00:00:00,Left_Hand,Right-arm medium,India
AM Rahane,1988-06-06 00:00:00,Right_Hand,Right-arm medium,India
AM Salvi,1981-10-20 00:00:00,Right_Hand,Right-arm medium,India
AN Ahmed,1988-11-05 00:00:00,Right_Hand,Right-arm medium-fast,India
AN Ghosh,1986-10-19 00:00:00,Right_Hand,Right-arm medium,India
Anand Rajan,1987-04-17 00:00:00,Right_Hand,Right-arm medium,India
Anirudh Singh,1980-08-02 00:00:00,Left_Hand,Right-arm medium,India
Ankit Sharma,1991-04-20 00:00:00,Left_Hand,Slow left-arm orthodox,India
Ankit Soni,,Right_hand,Legbreak,
Anureet Singh,1988-03-02 00:00:00,Right_Hand,Right-arm medium,India
AP Dole,1987-10-09 00:00:00,Right_Hand,Right-arm medium-fast,India
AP Majumdar,1984-04-30 00:00:00,Right_Hand,Legbreak googly,India
AP Tare,1987-11-07 00:00:00,Right_Hand,,India
AR Bawne,,Right_Hand,,
AR Patel,1994-01-20 00:00:00,Left_Hand,Slow left-arm orthodox,India
AS Rajpoot,1993-12-04 00:00:00,Right_Hand,Right-arm medium,India
AS Raut,1987-03-03 00:00:00,Right_Hand,Legbreak googly,India
AS Yadav,,Right_hand,,
AT Rayudu,1985-09-23 00:00:00,Right_Hand,Right-arm offbreak,India
AUK Pathan,1984-06-17 00:00:00,Right_Hand,Right-arm medium,India
AV Wankhade,1992-03-14 00:00:00,Right_Hand,,India
Avesh Khan,,Right_Hand,Right-arm fast-medium,
Azhar Mahmood,1975-02-28 00:00:00,Right_Hand,Right-arm fast-medium,Pakistan
B Akhil,1977-10-07 00:00:00,Right_Hand,Right-arm medium-fast,India
B Aparajith,1994-07-08 00:00:00,Right_Hand,Right-arm offbreak,India
B Chipli,1983-01-27 00:00:00,Right_Hand,Right-arm medium,India
B Geeves,1982-06-13 00:00:00,Right_Hand,Right-arm fast-medium,Australia
B Kumar,1990-02-05 00:00:00,Right_Hand,Right-arm medium,India
B Laughlin,1982-10-03 00:00:00,Right_Hand,Right-arm fast-medium,Australia
B Lee,1976-11-08 00:00:00,Right_Hand,Right-arm fast,Australia
B Stanlake,,Right_Hand,Right-arm fast,
B Sumanth,1988-05-10 00:00:00,Right_Hand,Right-arm medium-fast,India
BA Bhatt,1990-05-13 00:00:00,Left_Hand,Slow left-arm orthodox,India
BA Stokes,,Left_Hand,Right-arm fast-medium,
Basil Thampi,,Right_hand,Right-arm fast,
BAW Mendis,1985-03-11 00:00:00,Right_Hand,Right-arm offbreak,Sri Lanka
BB McCullum,1981-09-27 00:00:00,Right_Hand,Right-arm medium,New Zealand
BB Samantray,1988-12-14 00:00:00,Right_Hand,,India
BB Sran,1992-12-10 00:00:00,Left_Hand,Left-arm medium,India
BCJ Cutting,1987-01-30 00:00:00,Right_Hand,Right-arm fast-medium,Australia
BE Hendricks,1990-06-08 00:00:00,Left_Hand,Left-arm fast-medium,South Africa
Bipul Sharma,1983-09-28 00:00:00,Left_Hand,Slow left-arm orthodox,India
BJ Haddin,1977-10-23 00:00:00,Right_Hand,,Australia
BJ Hodge,1974-12-29 00:00:00,Right_Hand,Right-arm offbreak,Australia
BJ Rohrer,1981-03-26 00:00:00,Left_Hand,Right-arm offbreak,Australia
BMAJ Mendis,1983-01-15 00:00:00,Left_Hand,Right-arm offbreak,Sri Lanka
BR Dunk,1987-03-11 00:00:00,Left_Hand,Right-arm fast,Australia
BW Hilfenhaus,1983-03-15 00:00:00,Right_Hand,Right-arm fast,Australia
C de Grandhomme,,Right_hand,Legbreak,
C Ganapathy,1981-06-10 00:00:00,Right_Hand,Right-arm medium,India
C Ingram,,Left_Hand,Right-arm fast-medium,
C Madan,1982-10-15 00:00:00,Right_Hand,,India
C Munro,1987-03-11 00:00:00,Left_Hand,Right-arm medium-fast,New Zealand
C Nanda,1979-03-29 00:00:00,Right_Hand,Legbreak,India
